source;destination;local_departure_time;local_arrival_time
SJJ;SHJ;2016-09-13 22:45:00;2016-09-14 06:10:00
CKG;CGO;2016-08-12 14:25:00;2016-08-12 16:10:00
SCO;DME;2016-06-03 23:00:00;2016-06-03 23:30:00
CDG;MIR;2016-10-13 21:15:00;2016-10-13 23:00:00
KIX;CTS;2016-05-25 10:25:00;2016-05-25 12:20:00
HAS;JED;2016-10-18 22:25:00;2016-10-18 23:50:00
DUS;TXL;2017-01-30 12:45:00;2017-01-30 13:55:00
DUB;LHR;2016-11-06 17:30:00;2016-11-06 18:55:00
SVG;AAL;2016-03-28 17:25:00;2016-03-28 18:35:00
FRA;DUB;2016-03-15 10:50:00;2016-04-04 15:10:00
MEX;CUN;2016-07-09 07:25:00;2016-07-09 09:49:00
MNL;CEB;2016-05-11 18:30:00;2016-05-11 19:45:00
TZX;SAW;2016-03-26 16:35:00;2016-03-26 18:20:00
TPP;LIM;2016-06-24 14:45:00;2016-06-24 16:00:00
UIB;APO;2017-05-18 10:15:00;2017-05-18 11:05:00
BIQ;ORY;2016-10-05 16:35:00;2016-10-05 17:55:00
PTY;CUN;2017-07-01 09:52:00;2017-07-01 12:37:00
CGK;BDJ;2017-01-21 19:30:00;2017-01-21 22:20:00
WAW;RIX;2016-08-10 15:20:00;2016-08-10 17:50:00
MEL;DRW;2016-11-26 08:05:00;2016-11-26 11:05:00
MPL;CDG;2016-12-17 10:50:00;2016-12-17 12:20:00
PMI;FKB;2017-06-01 20:35:00;2017-06-01 22:40:00
MMX;BMA;2016-09-28 16:20:00;2016-09-28 17:25:00
FRA;LIN;2016-10-02 08:45:00;2016-10-02 09:55:00
NDG;DLC;2016-07-30 16:40:00;2016-07-30 18:35:00
NAS;LHR;2017-01-10 23:05:00;2017-01-11 12:10:00
NBO;ABJ;2016-07-07 07:35:00;2016-07-07 10:45:00
OSL;TXL;2016-10-17 09:50:00;2016-10-17 11:25:00
LHE;AUH;2016-07-06 19:30:00;2016-07-06 22:00:00
ZRH;MAD;2016-11-05 11:50:00;2016-11-05 14:05:00
DEL;IXL;2016-07-31 05:15:00;2016-07-31 06:30:00
CKG;CGO;2016-08-12 10:10:00;2016-08-12 11:55:00
RUH;DXB;2016-08-02 07:40:00;2016-08-02 10:35:00
KMG;CSX;2016-08-31 13:30:00;2016-08-31 15:30:00
